splice_id	chr	strand	c3ss_length	c3ss	can_ss	intron_length	five_ss	GC_content	length
ABCC10:chr6:43438258:43438390:43438336:43438390:43437933:43438013:+	chr6	+	78	43438259	43438337	245	43438014	41.0596026490066	151
ABCC5:chr3:183985303:183985455:183985303:183985378:183987769:183987917:-	chr3	-	77	183985455	183985378	2314	183987769	53.6423841059603	151
ACAA1:chr3:38126161:38126352:38126161:38126341:38126509:38126700:-	chr3	-	11	38126352	38126341	157	38126509	58.9403973509934	151
ACACB:chr12:109258959:109259108:109258972:109259108:109258267:109258364:+	chr12	+	13	109258960	109258973	595	109258365	62.9139072847682	151
ACAP3:chr1:1298012:1298128:1298012:1298113:1298369:1298421:-	chr1	-	15	1298128	1298113	241	1298369	70.1986754966888	151
ACBD4:chr17:45137667:45137830:45137721:45137830:45137367:45137454:+	chr17	+	54	45137668	45137722	213	45137455	57.6158940397351	151
ACBD6:chr1:180273337:180273408:180273337:180273398:180273936:180274112:-	chr1	-	10	180273408	180273398	528	180273936	43.046357615894	151
ACSM3:chr16:20780699:20780857:20780713:20780857:20777372:20777580:+	chr16	+	14	20780700	20780714	3119	20777581	41.0596026490066	151
ADA:chr20:44622828:44623078:44622828:44622930:44624201:44624329:-	chr20	-	148	44623078	44622930	1123	44624201	59.6026490066225	151
AFG3L1P:chr16:89977638:89977802:89977714:89977802:89972647:89972765:+	chr16	+	76	89977639	89977715	4873	89972766	43.046357615894	151
ANAPC1P2:chr2:87049588:87049803:87049588:87049790:87052813:87052992:-	chr2	-	13	87049803	87049790	3010	87052813	37.7483443708609	151
ANKHD1:chr5:140438460:140438617:140438493:140438617:140436103:140436257:+	chr5	+	33	140438461	140438494	2203	140436258	30.4635761589404	151
ANKHD1:chr5:140438493:140438617:140438502:140438617:140436103:140436257:+	chr5	+	9	140438494	140438503	2236	140436258	30.4635761589404	151
ANKRD13A:chr12:110011990:110012137:110012004:110012137:109999429:109999784:+	chr12	+	14	110011991	110012005	12206	109999785	28.476821192053	151
ANKRD39:chr2:96840415:96840912:96840415:96840514:96842059:96842185:-	chr2	-	398	96840912	96840514	1147	96842059	54.3046357615894	151
AP5Z1:chr7:4790213:4790591:4790458:4790591:4789831:4789929:+	chr7	+	245	4790214	4790459	284	4789930	60.2649006622517	151
APBB3:chr5:140561586:140561722:140561586:140561701:140561843:140561849:-	chr5	-	21	140561722	140561701	121	140561843	56.953642384106	151
APPL2:chr12:105207970:105208047:105207970:105208029:105208157:105208199:-	chr12	-	18	105208047	105208029	110	105208157	52.9801324503311	151
ARHGAP19-SLIT1:chr10:97265859:97266146:97265859:97266125:97292571:97292637:-	chr10	-	21	97266146	97266125	26425	97292571	43.046357615894	151
ARHGAP27:chr17:45396206:45396580:45396206:45396284:45396667:45396790:-	chr17	-	296	45396580	45396284	87	45396667	70.1986754966888	151
ARIH1:chr15:72570163:72570307:72570176:72570307:72567105:72567177:+	chr15	+	13	72570164	72570177	2986	72567178	29.8013245033113	151
ATF1:chr12:50795897:50796009:50795908:50796009:50780139:50780238:+	chr12	+	11	50795898	50795909	15659	50780239	31.7880794701987	151
ATG2A:chr11:64903287:64903676:64903287:64903364:64905562:64905655:-	chr11	-	312	64903676	64903364	1886	64905562	68.8741721854305	151
ATG2A:chr11:64908990:64909150:64908990:64909125:64909270:64909367:-	chr11	-	25	64909150	64909125	120	64909270	68.2119205298013	151
ATP5MC2:chr12:53669870:53669989:53669870:53669952:53672575:53674021:-	chr12	-	37	53669989	53669952	2586	53672575	38.4105960264901	151
ATPAF1:chr1:46643193:46643316:46643193:46643301:46645160:46645256:-	chr1	-	15	46643316	46643301	1844	46645160	46.3576158940397	151
BCL2L1:chr20:31721654:31722348:31721654:31722330:31723734:31723978:-	chr20	-	18	31722348	31722330	1386	31723734	40.3973509933775	151
BCL2L1:chr20:31721654:31722348:31721654:31722330:31723863:31723989:-	chr20	-	18	31722348	31722330	1515	31723863	40.3973509933775	151
BIRC6:chr2:32392023:32392150:32392038:32392150:32388810:32388943:+	chr2	+	15	32392024	32392039	3080	32388944	27.8145695364238	151
BMS1P4:chr10:73724774:73724838:73724774:73724828:73725960:73726040:-	chr10	-	10	73724838	73724828	1122	73725960	37.0860927152318	151
BRCA1:chr17:43095845:43095943:43095845:43095922:43097243:43097289:-	chr17	-	21	43095943	43095922	1300	43097243	34.4370860927152	151
BRD9:chr5:869244:869404:869244:869394:870472:870575:-	chr5	-	10	869404	869394	1068	870472	37.0860927152318	151
BUB1B:chr15:40202389:40202465:40202404:40202465:40200930:40200980:+	chr15	+	15	40202390	40202405	1409	40200981	29.1390728476821	151
C17orf75:chr17:32339812:32339938:32339812:32339924:32341203:32341284:-	chr17	-	14	32339938	32339924	1265	32341203	46.3576158940397	151
C1orf50:chr1:42773545:42773649:42773562:42773649:42767508:42767624:+	chr1	+	17	42773546	42773563	5921	42767625	42.3841059602649	151
CABIN1:chr22:24168431:24168521:24168446:24168521:24167222:24167313:+	chr22	+	15	24168432	24168447	1118	24167314	64.2384105960265	151
