id	chr	strand	start	end	mean	sd	gene	EVENT	ss	group	source	c3ss_mean	c3ss_sd	c3ss	c3ss_length	direction	lc_gc_content	intron_length
AAAS:chr12:53308815:53308851	chr12	-	53308815	53308960	326.666666666667	32.331615074619	AAAS	HsaALTA1009340-1/2	53308815	53308960	Canonical	15.6666666666667	2.51661147842358	53308851	36	upstream	53.6423841059603	145
AAK1:chr2:69509460:69509463	chr2	-	69509460	69514471	125.666666666667	16.0416125540213	AAK1	HsaALTA0000011-1/2	69509460	69514471	Canonical	76.3333333333333	22.1434715736565	69509463	3	upstream	31.7880794701987	5011
AAMP:chr2:218269534:218269537	chr2	-	218269534	218269966	211.333333333333	38.6824680357049	AAMP	HsaALTA0000012-1/3	218269534	218269966	Canonical	22.6666666666667	11.5902257671425	218269537	3	upstream	66.2251655629139	432
ABCA7:chr19:1057915:1057969	chr19	+	1057429	1057915	32.3333333333333	7.09459888459759	ABCA7	HsaALTA1004220-3/4	1057915	1057429	Canonical	12	11.3137084989848	1057969	54	downstream	51.6556291390728	486
ABCB4:chr7:87406494:87406515	chr7	-	87406494	87408037	44	9.53939201416946	ABCB4	HsaALTA0000036-1/2	87406494	87408037	Canonical	11.3333333333333	2.08166599946613	87406515	21	upstream	37.7483443708609	1543
ABCB7:chrX:75114831:75114834	chrX	-	75114831	75156105	148.666666666667	2.51661147842358	ABCB7	HsaALTA0000039-1/2	75114831	75156105	Canonical	114.666666666667	5.68624070307733	75114834	3	upstream	31.7880794701987	41274
ABCB8:chr7:151037284:151037241	chr7	+	151036649	151037284	22.6666666666667	5.5075705472861	ABCB8	HsaALTA0000040-1/3	151037284	151036649	Canonical	15	3.60555127546399	151037241	-43	upstream	51.6556291390728	635
ABCD3:chr1:94467919:94467923	chr1	+	94464873	94467919	253.333333333333	32.5934553757857	ABCD3	HsaALTA1019337-2/2	94467919	94464873	Canonical	18.5	7.77817459305202	94467923	4	downstream	25.8278145695364	3046
ABCD4:chr14:74295979:74295974	chr14	-	74295979	74296333	160.666666666667	45.632590692764	ABCD4	HsaALTA1020083-2/2	74295979	74296333	Canonical	18.6666666666667	10.0664459136943	74295974	-5	downstream	60.2649006622517	354
ABCE1:chr4:145104386:145104389	chr4	+	145098419	145104386	359.75	272.242998073412	ABCE1	HsaALTA0000053-2/2	145104386	145098419	Canonical	67	25.8650343127551	145104389	3	downstream	23.841059602649	5967
ABCE1:chr4:145119968:145120007	chr4	+	145117414	145119968	17	3	ABCE1	HsaALTA1041264-3/3	145119968	145117414	Canonical	13	NA	145120007	39	downstream	37.0860927152318	2554
ABCF1:chr6:30578076:30578073	chr6	+	30577913	30578076	183	66.7757440991862	ABCF1	HsaALTA0000054-2/3	30578076	30577913	Canonical	63.3333333333333	24.704925284917	30578073	-3	upstream	56.2913907284768	163
ABHD17B:chr9:71870262:71870220	chr9	-	71870262	71874614	287.333333333333	46.543886100468	ABHD17B	HsaALTA1014335-3/3	71870262	71874614	Canonical	14	NA	71870220	-42	downstream	33.7748344370861	4352
ABHD6:chr3:58293589:58293586	chr3	+	58285453	58293589	94.3333333333333	4.16333199893227	ABHD6	HsaALTA1040708-1/3	58293589	58285453	Canonical	12.3333333333333	1.52752523165195	58293586	-3	upstream	54.3046357615894	8136
ABI2:chr2:203395656:203395659	chr2	+	203394846	203395656	264.666666666667	61.6468436607531	ABI2	HsaALTA1029440-5/5	203395656	203394846	Canonical	43.3333333333333	18.9032625050104	203395659	3	downstream	35.0993377483444	810
ABI2:chr2:203416908:203416914	chr2	+	203411371	203416908	112.666666666667	18.1475434517549	ABI2	HsaALTA1029441-2/3	203416908	203411371	Canonical	11	9.16515138991168	203416914	6	downstream	31.7880794701987	5537
ABRACL:chr6:139034155:139034159	chr6	+	139028875	139034155	313.75	247.351807486153	ABRACL	HsaALTA0001328-2/2	139034155	139028875	Canonical	19.6666666666667	15.3079500042734	139034159	4	downstream	38.4105960264901	5280
ACACA:chr17:37244734:37244718	chr17	-	37244734	37245080	413.333333333333	38.4230833397495	ACACA	HsaALTA1063048-3/3	37244734	37245080	Canonical	25	13.5277492584687	37244718	-16	downstream	42.3841059602649	346
ACACA:chr17:37330425:37330335	chr17	-	37330425	37339804	262.666666666667	7.76745346515403	ACACA	HsaALTA1063044-2/2	37330425	37339804	Canonical	15.1666666666667	5.70672118354022	37330335	-90	downstream	41.7218543046358	9379
ACADVL:chr17:7224480:7224484	chr17	+	7224393	7224480	343.333333333333	92.9749070090061	ACADVL	HsaALTA0000142-2/2	7224480	7224393	Canonical	36.3333333333333	10.0166528008778	7224484	4	downstream	64.9006622516556	87
ACBD5:chr10:27240474:27240484	chr10	-	27240474	27240674	17.8	11.4324100696222	ACBD5	HsaALTA0000151-1/2	27240474	27240674	Canonical	13.4285714285714	15.9672283428396	27240484	10	upstream	65.5629139072848	200
ACD:chr16:67658816:67658832	chr16	-	67658816	67658928	344.333333333333	35.85154575933	ACD	HsaALTA1011932-1/2	67658816	67658928	Canonical	12.3333333333333	3.51188458428425	67658832	16	upstream	58.9403973509934	112
ACD:chr16:67660045:67660036	chr16	-	67660045	67660122	222.666666666667	61.1991285341003	ACD	HsaALTA0000154-2/2	67660045	67660122	Canonical	11.6666666666667	3.21455025366432	67660036	-9	downstream	68.2119205298013	77
ACIN1:chr14:23063577:23063487	chr14	-	23063577	23064105	984.666666666667	178.477823085484	ACIN1	HsaALTA1010769-4/4	23063577	23064105	Canonical	38	18.0277563773199	23063487	-90	downstream	50.3311258278146	528
ACIN1:chr14:23064257:23064221	chr14	-	23064257	23064355	806.666666666667	65.1562225219766	ACIN1	HsaALTA0000160-4/4	23064257	23064355	Canonical	190	13.856406460551	23064221	-36	downstream	60.2649006622517	98
ACIN1:chr14:23064488:23064485	chr14	-	23064488	23065966	623.666666666667	17.0098010962308	ACIN1	HsaALTA0000159-2/3	23064488	23065966	Canonical	186.666666666667	12.0138808606267	23064485	-3	downstream	45.0331125827815	1478
