ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID.1	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference	type	median_IJC_SAMPLE_1	median_SJC_SAMPLE_1	median_IJC_SAMPLE_2	median_SJC_SAMPLE_2	sample	splice_id
28125	ENSG00000124574.15	ABCC10	chr6	+	43438258	43438390	43438336	43438390	43437933	43438013	28125	2,1,2	0,1,0	3,4,3	4,2,1	227	149	0.000173889	0.01145656	1.0,0.396,1.0	0.33,0.568,0.663	0.278	A3SS	2	0	3	2	Nalm_6	ABCC10:chr6:43438258:43438390:43438336:43438390:43437933:43438013:+
29329	ENSG00000124574.15	ABCC10	chr6	+	43438258	43438390	43438336	43438390	43437933	43438013	29329	3,1,0,2,11,3,0,3	0,6,1,2,0,10,1,0	0,0,0,3	6,5,11,0	217	139	0.005564273	0.087634887	1.0,0.096,0.0,0.39,1.0,0.161,0.0,1.0	0.0,0.0,0.0,1.0	0.206	A3SS	2.5	1	0	5.5	MDS	ABCC10:chr6:43438258:43438390:43438336:43438390:43437933:43438013:+
7170	ENSG00000114770.17	ABCC5	chr3	-	183985303	183985455	183985303	183985378	183987769	183987917	7170	6,8,10	33,30,23	27,29,46	6,10,18	226	149	2.11E-15	1.16E-12	0.107,0.15,0.223	0.748,0.657,0.628	-0.518	A3SS	8	30	29	10	Nalm_6	ABCC5:chr3:183985303:183985455:183985303:183985378:183987769:183987917:-
6566	ENSG00000114770.17	ABCC5	chr3	-	183985303	183985455	183985303	183985378	183987769	183987917	6566	4,3	12,15	10,12	4,4	216	139	5.26E-06	0.000564046	0.177,0.114	0.617,0.659	-0.493	A3SS	3.5	13.5	11	4	K562_K700E	ABCC5:chr3:183985303:183985455:183985303:183985378:183987769:183987917:-
7258	ENSG00000114770.17	ABCC5	chr3	-	183985303	183985455	183985303	183985378	183987769	183987917	7258	10,13,15,27,45,27,13,71	77,107,126,145,188,90,97,225	17,50,66,20	6,13,19,32	216	139	2.00E-13	4.98E-11	0.077,0.073,0.071,0.107,0.133,0.162,0.079,0.169	0.646,0.712,0.691,0.287	-0.475	A3SS	21	116.5	35	16	MDS	ABCC5:chr3:183985303:183985455:183985303:183985378:183987769:183987917:-
39938	ENSG00000131584.19	ACAP3	chr1	-	1298012	1298128	1298012	1298113	1298369	1298421	39938	8,19,6	46,52,32	2,5,9	35,76,70	164	149	0.001138987	0.050167953	0.136,0.249,0.146	0.049,0.056,0.105	0.107	A3SS	8	46	5	70	Nalm_6	ACAP3:chr1:1298012:1298128:1298012:1298113:1298369:1298421:-
41995	ENSG00000131584.19	ACAP3	chr1	-	1298012	1298128	1298012	1298113	1298369	1298421	41995	10,11,20,4,14,15,3,16	39,34,38,17,116,47,31,46	0,0,4,0	69,56,70,46	154	139	2.22E-16	7.53E-14	0.188,0.226,0.322,0.175,0.098,0.224,0.08,0.239	0.0,0.0,0.049,0.0	0.182	A3SS	12.5	38.5	0	62.5	MDS	ACAP3:chr1:1298012:1298128:1298012:1298113:1298369:1298421:-
16484	ENSG00000181513.15	ACBD4	chr17	+	45137667	45137830	45137721	45137830	45137367	45137454	16484	7,4	6,4	0,0	9,6	193	139	5.27E-07	8.50E-05	0.457,0.419	0.0,0.0	0.438	A3SS	5.5	5	0	7.5	K562_K700E	ACBD4:chr17:45137667:45137830:45137721:45137830:45137367:45137454:+
22634	ENSG00000181513.15	ACBD4	chr17	+	45137667	45137830	45137721	45137830	45137367	45137454	22634	4,4,13,12,1,1,0,0	17,10,36,12,3,10,5,9	0,0,0,0	17,28,15,7	193	139	7.95E-09	7.82E-07	0.145,0.224,0.206,0.419,0.194,0.067,0.0,0.0	0.0,0.0,0.0,0.0	0.157	A3SS	2.5	10	0	16	MDS	ACBD4:chr17:45137667:45137830:45137721:45137830:45137367:45137454:+
23500	ENSG00000223959.9	AFG3L1P	chr16	+	89977638	89977802	89977714	89977802	89972647	89972765	23500	63,49,34	22,18,5	76,90,65	6,4,4	225	149	1.18E-06	0.000168492	0.655,0.643,0.818	0.893,0.937,0.915	-0.21	A3SS	49	18	76	4	Nalm_6	AFG3L1P:chr16:89977638:89977802:89977714:89977802:89972647:89972765:+
