splice_coords	length	gene	c3ss_length	chr	start	end	int_chr	int_start	int_end	strand	type	synth	Notes	GC_content
chr5:140436258-140438493	2245	ANKHD1	9	chr5	140436258	140438493	chr5	140436258	140438502	+	C3SS Upstream	Gblock	NA	30.46357616
chr12:105208048-105208157	128	APPL2	18	chr12	105208048	105208157	chr12	105208030	105208157	-	C3SS Upstream	Gblock	NA	52.98013245
chr2:23754799-23757417	2643	ATAD2B	24	chr2	23754799	23757417	chr2	23754775	23757417	-	C3SS Upstream	Gblock	NA	33.11258278
chr20:31722349-31722617	1533	BCL2L1	18	chr20	31722349	31722617	chr20	31722331	31723863	-	C3SS Upstream	Gblock	NA	40.39735099
chr17:43095944-43097243	1321	BRCA1	21	chr17	43095944	43097243	chr17	43095923	43097243	-	C3SS Upstream	Not Gblock	NA	33.77483444
chr5:865582-868606	4891	BRD9	0	chr5	865582	868606	chr5	865582	870472	-	Cassette Exon	Gblock	NA	58.2781457
chr15:40200981-40202389	1424	BUB1B	15	chr15	40200981	40202389	chr15	40200981	40202404	+	C3SS Upstream	Gblock	NA	29.13907285
chr7:94528251-94533188	4954	CASD1	16	chr7	94528251	94533188	chr7	94528251	94533204	+	C3SS Upstream	Gblock	NA	23.17880795
chr3:56615273-56615903	649	CCDC66	18	chr3	56615273	56615903	chr3	56615273	56615921	+	C3SS Upstream	Gblock	NA	26.49006623
chr17:47138907-47141852	2961	CDC27	15	chr17	47138907	47141852	chr17	47138892	47141852	-	C3SS Upstream	Not Gblock	NA	33.77483444
chr8:60828807-60830309	1515	CHD7	12	chr8	60828807	60830309	chr8	60828807	60830321	+	C3SS Upstream	Gblock	NA	32.45033113
chr16:58539960-58541500	1593	CNOT1	52	chr16	58539960	58541500	chr16	58539908	58541500	-	C3SS Downstream	Not Gblock	NA	33.77483444
chr22:19961290-19962526	1369	COMT	101	chr22	19961290	19962526	chr22	19961290	19962658	+	ATSS	Gblock	ATSS	64.2384106
chr15:49128774-49129476	716	COPS2	13	chr15	49128774	49129476	chr15	49128761	49129476	-	C3SS Upstream	Gblock	NA	23.17880795
